number,model,rating,offer_price,original_price,price_difference
41,samsung galaxy s10 plus (blue 128 gb 8 gb ram),0,73900.00,79000.00,5100.0
42,samsung galaxy s10 plus (black 128 gb 8 gb ram),0,73900.00,79000.00,5100.0
43,samsung galaxy s10 (white 512 gb 8 gb ram),0,84900.00,92000.00,7100.0
44,samsung galaxy s10 (white 128 gb 8 gb ram),0,66900.00,71000.00,4100.0
45,samsung galaxy s10e (white 128 gb 6 gb ram),0,55900.00,59000.00,3100.0
46,samsung galaxy s10 (black 128 gb 8 gb ram),0,66900.00,71000.00,4100.0
47,samsung galaxy s10e (black 128 gb 6 gb ram),0,55900.00,59000.00,3100.0
48,ultraprolink activ bluetooth earphones (um0086 black),0,2199.00,2499.00,300.0
49,leaf beast wireless headphones,0,2899.00,3999.00,1100.0
50,ultraprolink morph bluetooth earphones (um0091),0,1999.00,2299.00,300.0
51,cygnett 20000 mah usb-c power bank (cy2220pbche black),0,12999.00,6099.00,-6900.0
52,ultraprolink zync 150 cm type-c usb cable (ul0058-0150 black),0,449.00,499.00,50.0
53,vivo v15 pro (red 128 gb 6 gb ram),0,28990.00,32990.00,4000.0
54,motorola one power (black 64 gb 4 gb ram),0,13999.00,13999.00,0.0
55,plantronics voyager 3200 series bluetooth headset with charge case (3240),0,8290.00,8290.00,0.0
56,plantronics backbeat wireless earphones (fit 350 black and grey),0,6490.00,6490.00,0.0
57,plantronics backbeat wireless earphones (fit 305 blue),0,5590.00,5590.00,0.0
58,plantronics backbeat wireless earphones (305 black and grey),0,5590.00,5590.00,0.0
59,plantronics backbeat sports earphones (fit 2100 blue),0,8100.00,8100.00,0.0
60,nokia 5.1 plus (black 64 gb 6 gb ram),0,16499.00,18499.00,2000.0
61,nokia 8.1 (blue 128 gb 6 gb ram),0,25999.00,31999.00,6000.0
62,jbl wireless headphones (tune 500bt blue),0,3299.00,3799.00,500.0
63,jbl wireless headphones (tune 500bt black),0,3299.00,3799.00,500.0
64,lg v40 thinq (platinum 128 gb 6 gb ram),0,50990.00,60000.00,9010.0
65,cygnett qi wireless desk charger (cy2366papmc),0,1749.00,1749.00,0.0
66,boompods true wireless sports earphones (black),0,6499.00,6999.00,500.0
67,vivo y91 (black 32 gb 3 gb ram),0,8990.00,12990.00,4000.0
68,nokia 6.1 plus (black 64 gb 4 gb ram),0,15499.00,17599.00,2100.0
69,nokia 5.1 plus (blue 32 gb 3 gb ram),0,10599.00,13199.00,2600.0
70,nokia 5.1 plus (black 32 gb 3 gb ram),0,10599.00,13199.00,2600.0
71,vivo y93 (purple 64 gb 3 gb ram),0,11990.00,14990.00,3000.0
72,vivo y93 (black 64 gb 3 gb ram),0,11990.00,14990.00,3000.0
73,oppo a7 (glaze blue 64 gb 3 gb ram),0,12990.00,16990.00,4000.0
74,oppo a7 (glaring gold 64 gb 3 gb ram),0,12990.00,16990.00,4000.0
75,oneplus bullets wireless earphones (red),0,3990.00,3990.00,0.0
76,nokia 8.1 (iron 64 gb 4 gb ram),0,20999.00,28831.00,7832.0
77,vivo y81i (black 16 gb 2 gb ram),0,7990.00,10990.00,3000.0
78,vivo y81i (gold 16 gb 2 gb ram),0,7990.00,10990.00,3000.0
79,nokia 7.1 (gloss midnight blue 64 gb 4 gb ram),0,17999.00,24561.00,6562.0
80,nokia 7.1 (gloss steel 64 gb 4 gb ram),0,17999.00,24561.00,6562.0
81,nokia 8.1 (blue 64 gb 4 gb ram),0,20999.00,28831.00,7832.0
82,oneplus 6t (mclaren orange 256 gb 10 gb ram),0,46999.00,50999.00,4000.0
83,jabra elite active 65t wireless earphones (titanium black),0,15499.00,15499.00,0.0
84,redmi redmi note 6 pro (black 64 gb 4 gb ram),0,12499.00,15999.00,3500.0
85,huawei mate 20 pro (blue 128 gb 6 gb ram),4,64990.00,79990.00,15000.0
86,nextech astro npc1500 20000 mah power bank (black),0,2199.00,3999.00,1800.0
87,oppo a7 (glaze blue 64 gb 4 gb ram),0,14990.00,18990.00,4000.0
88,samsung galaxy a9 (blue 128 gb 8 gb ram),4,33990.00,39990.00,6000.0
89,fitbit charge 3 fitness tracking band (fb410gmwt-cjk white and graphite),0,15999.00,15999.00,0.0
90,vivo y95 (purple 64 gb 4 gb ram),0,14990.00,18990.00,4000.0
